text,label
Nice spare battery pack at a decent price point (bought it for $24.99).  Would have paid an extra $5 for a protective tote bag to carry it in.,1
"I really, really wanted to love this product (I got matching ones for my boyfriend and I - other people raved about them as well), but ultimately, all I got was a headset that:- Constantly dropped the connection- Required me to do a hard reset on my phone because the software (Ice Cream Sandwich 4.2.2 on Android - Samsung Galaxy Nexus global unlocked) just did not seem compatible- Would connect to my phone once for talking or listening to music and then on the second attempt to reconnect, would freeze and require a powering on/offOverall: Frustrating product that I wanted to love.",0
This is the worst product that I have bought online.  The case materiel is poor quality.  The phone does not come close to fitting this case.,0
"The sound from them is mediocre, and they are so flimsy it feels like you could break them at any minute.The buttons in the middle are absolute junk, flimsy and click all the time by themselves.It also does NOT FULLY FIT into the socket for my HTC evo shift 4G.I would not recommend these headphones to anyone.",0
"GREAT case. Highly recommend. Gummy material on the side, hard case on the outside. Trust this case to keep my iPhone safe. Had it for a year before it broke and that's because I accidentally pulled too hard on the bottom and broke the thin plastic part above the charger. Wrote into Otterbox and they are sending me a new one! Great company!",1
"I really loved this case. I received it in good timing. Everyone I know loves the case, and it was worth buying it. I loved it.",1
perfect for those of us who have kids that just love to play on our phones.  Cheap and have more than one protector.,1
Really liked this for my stylus.  Kept me from losing them as quickly.  Long enough to attach and use and the same time,1
My wife and I have samasung galaxy II phones and love them but they sure eat batteries (we do use them for everything we can) so we wanted the convenience of having cables around in the places we need them.  these replacement/spares are great and actually seem beefer than many we already own.  the 5 ft length is great for bedside when the plug is not convenient.i recommend them to anyone needing these types of cables for charging a cell phone via USB.,1
gives you privacy people will not be able to see anything on your screen. some friend dont like it but some do. I love it.,1
"This case is very nice, I really love it, and it looks so stylish, fits perfectly.  Got it very quickly too",1
"The  case flat out was  horrible,  the finish work was  sub oar.  None of the  corners and creases matched up.  The holster  clip  broke  within  2 hours,  (I think I used my phone 5 times)  but there service is excellent.  I would  definitely  buy",0
I love this case!  Great color and the magnetic closure is wonderful.  I have a similar case that doesn't that doesn't have a magnetic closure and came back to this one.  The view window works great to see messages and answer/ignore calls.  You can talk on the phone with the case closed. I like that it prevents my phone from turning on while in my purse.  The case doesn't get in the way when I use the camera or when I text (just fold the cover back).  Great case for the money.,1
"I used this vehicle dock mounted to the windshield for about a week every day...I figured it would be a good product because it was made by Motorola...I was WRONG!! I tried to remove the dock from the windshield to put it away. When I did the thumb screw, for adjusting the arm that holds the phone, fell apart in my fingers!! Very disappointing!!",0
"NT63T Stylus Pens (1 Black, 1 White)Both Pens' spring-loaded button atop the stylus to lower the mesh wire tip work very smoothly, and I like that the Mesh tip can be retracted to protect the structural integrity and longevity of the stylus thru repeated use during travel, storage in Briefcases, pad-folios, iPad cases.I have used the stylus's on:1) iPhone 5s, 5 and 4s - iPhones respond very sensitively to the stylus's, with the iPhone 4s having a tech armor screen protector, the iPhone 5 having a Belkin screen protector, and the iPhone 5s having a Tech Armor screen protector AND the NewTrent Rugged iPhone 5 case.Regardless, the screen sensitively to the stylus was very representative of using my finger - Great responsiveness!2) iPad Air, iPad 2nd and 3rd Generation - all iPad's screens also demonstrated superb sensitivity to the NewTrent Stylus, with the iPad 2nd and 3rd Gen having Tech Armor Screen Protectors and Griffin Military Protective Cases (no diminished sensitivity, a positive to both you and Griffin!). The iPad Air has a Tech Armor Protective Screen cover and the NewTrent Rugged Keyboard Case, and was equally responsive to the Stylus. Nice!APPEARANCE AND CONSTRUCTIONBoth the Black and the White stylus are very cleanly and sleekly designed, I was asked while working with it a Starbucks this past weekend who made/designed it and where did I buy it - I know it is only one instance, but you are on the money with the design!Construction appears to be very sturdy, and the spring loaded button atop the stylus feels very stout - great for durability.Overall, I rate the stylus a &#34;5&#34; out of &#34;5&#34;. My only constructive criticism is that having a pen function adjoined to the current design would make it for one less need for a pen - though I could argue that by virtue of running a virtually paperless business and of having a stylus (and presumably an iPhone/iPad on me in tandem), I would not have any regular need for a pen! (Note - approx. 2yrs ago, I bought your stylus/Pen combo, and love it too - thought it is noticeably smaller and lighter than this stylus model).",1
"I purchased this case for my wife. Considering that it's an Otterbox, I expected more. Its very difficult to put on. The case is actually two parts a soft black silicone slip on and a hard outer shell. The problem: the silicone case would wrinkle a bit and didn't look quite right. If you manage to get it on, your afraid of taking it off. The outer shell is weak/thin around the side button's. The case finally broke and it seems that I'm out of luck and cannot return it for an exchange. The case lasted 8 months.",0
It came to me broken. I love the colors on it but I am unable to use it. I should have sent it back to be replaced or refunded,0
I ordered this for my Samsung note 3 cell phone and found it was to big and the wrong item. Please note the heading is confusing to a customer. It learn one to believe is for the Samsung note 3 cell phone when indeed it is for a 8 inch tablet. That is my only complaint. I would not of ordered it otherwise.The case itself really is very nice and will indeed work great for the Samsung 8 inch tablet. Just be sure you know that you are ordering this for a 8 inch Tablet and not a cell phone. It will save you time and money.,0
"the bumper does its job to protect the iphone 5 well, no more paint scratches on the sides or edges.  not sure how it looks on white phones but looks good with black iphone 5 for me.  the only thing i don't like about it is that the power and volume buttons are too shiny.  good price with decent quality overall.",1
"I love these screen protectors they're so pretty and they came exactly on time! I give them two thumbs up, I will definitely be purchasing more.",1
"I have tried a lot of iPad cases in my time. This one is not great. It's stiff and flimsy and it doesn't fold at all well. Holding my iPad with this cover folded back was just awkward -- it doesn't want to fold flush with the iPad, meaning the edge sticks out and the folded edge is bowed. With use, the fold would probably get better, but I use my iPad daily and I don't have time to break a cover in like a baseball glove. I like Belkin stuff normally, but this one was not for me.",0
"The case gives the phone a good level of protection but the silicone doesn't fit snugly enough around the phone, causing the corners to bend and give whenever there's any pressure on them at all.  It's always ready to come off, causing me to constantly pull & push it back into place.",0
"Pretty flimsy, and was too loose to work with my wife's arm.  I think it would fall apart pretty quickly if you aren't willing to do some stitching to repair the poor quality.",0
Not worth the money they are really cheap nothing like the ones we got from Walmart. I will go buy then from Walmart when we need them,0
"Easy to install, and a very nice desing and quality materials. It makes was it was made for. Recomended product!",1
"If your computer has bluetooth feature there is really no need  for this,unless you plan to transfer big amounts of data and time is an issue for you.It also gives you option to charge your phone directly from computer or, probably,anything else with USB port.",1
The charging port broke very easily. I'm not going to send it back but I'm not a fan.,0
"What you need is Pogo Stylus. The Pogo Stylus is an ultra-light aluminum stylus with a soft tip that allows electrical charges to transfer from your hand to the screen. Without cutting your nails or taking off gloves, you can use this stylus to select icons, answer calls, write email and text messages, play games, ""draw"" on the screen, or surf the web.Personally, I don't have long nails, but I do have trouble hitting the right letters on my iPhone. The Pogo Stylus makes it much easier to get it right the first time. In addition, you don't have to worry about scratches or finger smudges, either.I love mine and it works perfectly. You don't have to SMASH it on the screen to get it to work. (As a matter of fact, pressing too hard will mess up your tip.)  Just tap lightly with the full face of the tip and you'll have no trouble at all.My only wish is that there were a way to attach it to my Mophie Juice Pack AirMophie Juice Pack Air (Red) for iPhone 3G & 3Gs. The clip that comes with the stylus fits over the iPhone alone. There are clips available that fit over a variety of other iPhone cases, but not the Mophie. For now, I have to carry it in my wallet. But it's worth it.",1
Once you charge or use the headphone jack the outer case stretches out and it defeats the case design. I am a neat person and even though I can get a replacement outer case I rather not . I like the case to fit and if the rubber wasnt as soft it would hold up. They need to change the rubber to be better. It makes my phone heavy and bigger .,0
I love my lifeproof case..and this clip makes it so handy to carry my phone.  I have recommended lifeproof items to all my friends.,1
I didn't like these screen protectors at all. When using the phone I could still see the mirror part and it made the phone weird colors when using. I took them off,0
"bought this for my S4.  This thing fits like a glove.  Bonus is that it has a kick stand on it.  It swivels for vertical/horizontal viewing.  Something I would caution you on is that its a tad slick on the backside.  Not sure why, but that is the only knock on it.  Overall this case is fantastic, especially for the price!",1
It's in perfect condition but slides off my phone when I'm using it in any way. It's not for the Apple IPhone 3GS.,0
"I purchased 2 shields for 2 different new phones. One was OK, the other bad. I contacted the company and they wanted me to return the old shield at my expense. Then they are going to ""charge me for shipping, using my credit card"" to replace it with a new one! RIP OFF. This product is not worth the money. Lifetime replacement is a joke if it costs almost as much money to replace as it costs to buy it in the first place. $3-$5 for shipping-the product is only $7.95.READ WARRANTY INFO BELOW before you buy...Please check one:________ $2.95 FILM ONLY (plus Tax for CA)- Does NOT include retail box, spray, applicator card nor cloth________ $4.95 FULL KIT (plus Tax for CA)- Does NOT include retail box, includes spray, cleaning clothand applicator cardReplacement for International Shipping Address please add $20 for postage.How to Register and Activate your Warranty:Step 1: Complete our Warranty Registration.Please visit this link to complete the ""Armor Suit One-time Warranty Registration Form"":  [...]You only need to complete Step 1 once to activate your warranty.I have also included instructions below for future reference in case you NEED A REPLACEMENT....How To Obtain a Replacement:Step 2 must be completed each time you are replacing an Armor-Suit product. After completing Step 1, you may continue to Step 2.Step 2: Complete the ""Product Replacement Form""1. Visit [...] You will find a link to download the warranty form. The link to the direct form is: [...]2. Please complete the form and send it back to us with a copy of the invoice.3. Please send back your original Armor-Suit to the address listed on the form.4. Upon receiving your used Armor-Suit product, we will charge the card you provided on the form for shipping and send you out the replacement product.Congratulations on enrolling and receiving your Armor-Suit replacement! We look forward to helping you again in the future.  We are sorry if this process was inconvenient, but this system is in place for us to help you as best as possible.Bottom line: FORGET IT, BUY ANOTHER PRODUCT.",0
I have bought about 6 cases like this and i always end up giving them to other people because they love them so much,1
Two issues with this...one the rubber cover over time has lost its tightness around the hard cover shell. it comes a loose alot and I know it should be tight fitted. Second the color on the website seems to be lighter colors in blue for the hard shell and then the rubber cover is darker....well mines seemed to be one colder the darker color so I was disappointed....,0
"I paired this headset to my iPhone right out of the box. It comes fully charged, which is easy to appreciate.First I'll speak to the quality. The headset fits very comfortably behind the ear and actually feels pretty good. I've used other Bluetooth earpieces and I've experienced discomfort, pain in the ear, low quality sound and poor signal quality. The Motorola Elite gave me none of those things. I called my wife's phone and spoke to her. She never even knew I was on a Bluetooth. I then walked way across the house, away from my phone and the signal never waivered. The sound quality I received was unexpectedly good; very clear, nice and loud, very good quality.It charges while resting in its case. It fits snugly in the case and easily fits into a pocket until it's ready for use. When turning the unit on, it announces the number of hours of talk time available, which is a nice high number when charged. Press the button on the bottom of the unity and speak the name of the person from your contact list and your phone dials the number. Say ""hang up"" and the phone hangs up. It's the one hands-free device that's truly hands-free (except for turning it on).All said, this is a high quality headset with advanced features and is user-friendly. Expect big things from this little item.",1
"I did not have much success with this product. The price is certainly good, to the point where I'm not even sure how they can get them to my door for the amount of money paid, much less manufacture and package them. I'm pretty sure these are drop-shipped direct from China, because mine took about four weeks to arrive. (And speaking of dropping, I dropped my phone twice in that span - you might want to order ahead if you know you're going to be getting an iPhone and decide to purchase these covers. But, keep reading.) The instructions for application were cryptic at best, but once I figured out how to remove the plastic sheets from the cover on both sides, I was okay. The lint-free cloth provided, however, did not do a very good job. I screwed up my first cover by pulling off the plastic too soon. The second one had too many dust particles and a bunch of bubbles. The third one was serviceable, but it wasn't completely sticky at the bottom. After about two months, the non-adhesion area grew to about one-third of the surface of the phone. I pulled it off and went withBelkin Clear Screen Protector for Apple iPhone 4S (3 Pack). If you get lucky and get a sticky cover and get the dust off your phone, these will probably work. Still, you'll have to get lucky, so I would say if you're a gambler and don't mind waiting a month for your product to arrive, these are fine or at least, give good cost performance. Otherwise, try the Belkin or something else.",0
"Loved the concept.  Worked great and charged my ipad and iphone until the 3rd week i went to use it and it died after charging my iphone once. I fully charged it and it was zapped after one single iphone replenishment.  That's NOT how the specs read.  I figured i had just got a lemon.  However, i tried to return/replace but was told it had expired.  VERY disappointing after reading so many great reviews on it.",0
"This protector works great and it was very easy to install.Does not hamper finger movements, and fingerprints wipe clean easily. However, they build up easily as well.I recommend this protector over the ones you need liquid to install. Ive owned those before and they seem to eventually come off. This has been on my phone since October, and it is still perfectly on my phone.",1
"I'm not sure how protective this case actually is. The back of it is a smear/finger print magnet and my phone feels super naked with it. I was afraid that if I dropped it, my phone would definitely shatter. I also noticed that I can not use the headphone jack with this case on. At first I was mad because I thought the headphone jack in my phone went out, until I noticed that the jack couldn't go all the way in with this case on.I'll stick with my wallet case, I feel as if my phone is far more secure in that.Gave two stars because the case is aesthetic.",0
"The case is super cute and it actually looks way better than I thought it would.. It fits great on my phone!  Everyone just loves it!  Overall, GREAT DEAL!",1
"If you want a stand designed for your Playbook, this is an excellent design. If you want a reliable charger, not so much.What's good:Good looking stand.Heavy, doesn't move around the desktop.Power cords exist for US & UK plugs.Simple design.What's bad:No power indicator light - you don't know if the charger is receiving power.Users in other Blackberry forums report the charger has a tendency to stop working.In my case the charger worked for about two weeks before it quit working. My unit's failure mode was the ""says it's charging but isn't charging.""So I'm bummed. However, as I wrote before the charger makes a terrific stand so that's this charger's new job.Bottom line: buy this as a stand that may charge your device.",0
These fit my husband's phone well also and he loves these as well.  He has plenty now so that he can change them when he needs to.,1
This is a must buy I am seeing that when I applied it to my phone I could not see my finger prints and I must admit I am happy with the timing (For some people it was rocket science but it was very easy to apply)I am happy that I did decide to buy looking forward to continued business with this company.,1
"Three of the five are now bad!  They won't charge any more!  Poor Poor quality!  Don't buy them, they are not worth it!",0
"After a week of use:I still really like this phone and stand by my 5 star rating, here's some things I've noticed after a week of use:The Screen- It's 720p but honestly it's a non issue, using larger 1080p screens for the past 2 yrs I don't notice a difference I would think Sony will stay with 720p for the Z2 compact and up it to a 4.5in screen.Battery life: If you have 4.3 out the box I wouldnt recommend updating it to KitKat the battery life just isnt as good it will still last you a day to a day in a half on normal use you should be able to get 2 days with normal use, it really depends on how much you value battery life.Screen Size: This is probably the part I'm most torn about, while I love the size when I turn on the phone I can't help to think the screen is just a tad bit small, I wish the side bezels were thinner something that will most likely be addressed on the Z2c. The issue is the on screen buttons take a good amount of screen space while not an issue on the home screen since they are transparent when you open apps they become black and take up valuable screen space making it smaller. May not be an issue to some but just wanted to point it out, if you're coming from a iphone or something similar it shouldnt be an issue but coming form a G2 with a 5.2in screen there are times where I felt the screen was a bit small.Phone Speaker: It's okay, it sounds a bit muffled to me I wish it was more clear volume is okay but overall it's pretty average.Headphone SQ: Very good not quite as good as the Z2 but you shouldn't have any complaints.Software: While Sonys skin is nice there is a lot of bloat for an unlocked phone, it annoys me that there's so much Sony / Xperia junk on here that you cant take off. I have a sony bluetooth headset and it forces me to download the app in order for me to use it, it also appears in the notification tray even after you disconnect it and turn it off the only way to remove it is to go to app info and click force stop. May not be an issue again but just wanted to point it out.Call Quality: Havent used this phone too much for calls about 2 hrs total? But havent had any complaints, audio quality through the phone is just average could be better could be worse.Overall I'll stay with my 5 star rating since this is the only phone of it's kind in this form factor I'm happy with it 80% of the time and the other 20% the grips bother me. The Z2c should be out soon if you want to wait for that hopefully within the next few months but once again it will probably command a hefty price tag like the Z2 around 650-700 at launch in that case the Z1c will be cheaper and I'd probably still recommend the Z1c in terms of value.  If you can afford it I'd wait for the Z2c and see what they come up with but if you chose the Z1c you will most likely be happy with it.Update: Reordered it New Z1c Impressions:I ordered the Z2 and while it's an awesome phone I felt as if it was too big barely I may get it again when the price goes down but as of now it's too big for me sometimes for everyday use...So I decided to give the Z1c another try and wow a lot of my impressions have changed.I'm pretty sure I got a different region this time as the box was different this one had the Brazil Fifa soccer logo on the back the 1st one didn't as far as I can tell the screen on this one is better, looks less washed out (Sony as well as other manufactures are known to use different LCD panels). The build quality also seems better on this version, the back doesnt feel as plasticy or cheap it feel much more premium. This makes sense since some people experience flash bleed issues when taking pictures due to the plastic backing where as some people don't the only explanation is that sony uses different plastic on some regions phones than others.These were two of my main gripes with the phone and makes the $450 price tag a bit more reasonable, if you're not happy with the version you get I suggest you return it and reorder it you may get a different regions and be happier. The Z1c right now fills niche that no other phone can fill there is no other ""compact phone"" that has flagship specs. Is the phone perfect no, the Z2 compact will most likely be my perfect phone I cant wait for it to come out...but it will most likely be priced similar the Z2 which is 650-700 initially so it will be a while until the price comes down in which I don't think it's worth the price difference. Overall I am really glad I decided to order the phone again I guess 2nd times the charm!Also side note: I'm not sure if I'm going to upgrade to kitkat some users have reported worse battery life after upgrading to kitkat while some have no once again people think it could be some regions phones. There's a thread on XDA worth checking out Sony is supposed to release an update next month, I also noticed this with the 1st phone I had where I was pretty disappointed with battery life after reading all the glowing reviews (that phone had kitkat preinstalled already)I've been following the Z1 compact for a while and finally decided to give it a shot once amazon had prime for it, I have to say there's a lot that Sony got right with this phone and a few things that they didnt. I've used the Z1 and felt it was too big and am currently using the LG G2, I wanted something smaller and more pocketable so I gave the Z1c a try. I'm sure everyone's watched and read reviews so I'll skip all that stuff and go straight to what I noticed.The screen, while it is improved it still isn't up to par with the G2, HTC One or S4 for that matter for some reason colors look a little washed out to me. While it is a good screen, I would say it's not on the level as the top tier phone (or last years now).The camera, the camera takes good outdoor pictures but just okay indoor ones I used the superior auto mode but honestly was a little disappointed with the camera, I use auto since 99% of the time I dont care to mess around the manual settings.Build Quality- This is probably the biggest disappointment for me, using the Z1 I was impressed by the build quality it felt premium and solid the Z1c on the other hand feels some what cheap (imo). The front feels hollow it's hard to explain but it almost feels plasticy the Z1 and HTC one have a harder screen that feels like glass, if you've used the iPad Air the front feels like that. The back is also really disappointing, Sony opted to use plastic instead of glass not sure why since the Z1 was glass and it was one of the 1st things I noticed. If this is supposed to be a no compromise smaller flagship it wouldv'e been nice to have the same build quality as the Z1, while it does look nice the in hand feel felt a little cheap to me but once again that's just my opinion.Battery life- Coming from the G2 and reading the reviews I expected really good battery life the phone has KitKat now and maybe that may contribute to the battery life not meeting my expectations but I would say it's good but not as good as my G2. I didnt have it on the charger and sleep for about 7 hrs I woke up with it dropping 10%. Hopefully it's in new phone mode right now and the battery improves over time but as of now I would say that battery is good not great, it was at 90% at 9 am now its at 67 at 1 pm I was in an area with bad signal so that has alot to do with it was well but ill update this after more time.SIgnal strength- I'm using Tmobile and while coverage isnt the best there's areas where I have less bars then I would have with my G2, not a major deal breaker but could be an issue depending where you live.Overall I will most likely return it I paid around 460 for it and I don't feel like it's quite worth the money, if it was at a lower price point around 350 then I might keep it but for now there's too many other better options in terms of full size phones I can get for that amount. It's a good phone but I would suggest waiting for the Z2 compact and hope that they address some of the issues.",1
"Short story, i was getting a Samsung S4 and I knew it had bluetooth version 4.0 and decided to try and get a 4.0 bluetooth earpiece. Well that was a short search, I never found one from a reputable manufacturer that I trust so I just transitioned my search for the best one period(regardless of BT version) to date. After owning and losing/breaking over 15 various bluetooth headsets I am quite picky when purchasing one. After a 48 hour exhausting blur of reviews/videos/forum reading I settled on the Jawbone ERA Shadowbox, and couldn't be happier...well unless it had a mute function :-) . This headset might be an all time great in this category, small, light,quick charging,flawless audio,painlessly update-able via the Jawbone My Talk program, Tons of usable innovation that perform flawlessly and incredible noise cancellation with a 5.5 hour talk time and an incredible amount of fitting options included. After updating and pairing it with my S4, I called my wife, and her first words were wow you sound so loud and clear i think you have no need for a headset with this phone. My car has a bluetooth in-car system and my wife feels it is lacking for what the option cost. My wife had no idea i even bought one yet and had no idea i was using it. If after her countless derogatory comments of every other headsets call quality, this in itself proves Jawbones claims of this being it's flagship device. Over two weeks, i have used it everyday(phone calls,Spotify/Slacker streaming,Youtube,Voice SMS and email) without fail,and never have had one issue of any type(a first for me) . Truly an Amazing Device(still wish it had a mute function :-) ), yet it is so rock solid i dropped it on a 100 degree day on a hot asphalt from 6 feet high while putting it in my ear and it never unpaired or even got a nick.  A+++ get it without hesitation..highly recommend!",1
no good baby you don't like to have it when it dose not lock the cover the magnatic too poor to hold the cover.,0
"Like so many of us I travel a great deal and carry too many gadgets at a time and seem to be transitioning to or from one device to another.  What I needed was a single charger that could handle one or more devices while I am on the road.  I currently have a full size iPad 3 which requires 10W that I use when at home and connect up my Samsung GS 5 so that they are both charging at the same time.  I have used this device to charge both at the same time and they work fantastic.  I wake up to a full charge to get my day charged!On the road I take my Nexus 7 2013 and charge up my S5 at the same time while catching Zs.  I use the smartphone as an alarm clock and they both work fine.Note that the other devices that I have tested this device with are my old iPhone 5, Amazon Paperwhite and my bluetooth headset from Samsung.All work great.If you want one charge that has the power to keep you charged up this is it.",1
"I bought this for my husband. He loves it. It is very durable and, believe me, he does put it through a lot of sitting down, standing up, bending over, etc. It is an excellent product.",1
I changed careers and now spend a lot of time on my phone.  My original battery couldn't handle it.  This one seems to do well.  Hopefully it will continue to perform.,1
"This leopard hard case is my favorite for my Samsung Galaxy Note II.  It looks awesome and protects my phone very well, considering I have dropped it numerous times, without any damage to the phone.  I would recommend it highly.",1
Horrible cardboard/foam case... it looks like something you can make your self with art supplies from micheals. never going to use it. You get what you pay for.,0
Easy to use Easy to install very good quality and for the price is excellent this fit perfectly to my iPhone,1
